Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
47120,b810,"Bos Parks",A,"Boston Parks Department",Public Works,"Boston "
47152,b830,"Bos Parks",A,"Boston Parks Department",Public Works,"Boston "
47184,b850,"Bos Parks",A,"Boston Parks Department",Public Works,"Boston "
47216,b870,"Bos Parks",A,"Boston Parks Department",Public Works,"Boston "
47248,b890,"Bos Parks",A,"Boston Parks Department",Public Works,"Boston "
47280,b8b0,"Bos Parks",A,"Boston Parks Department",Public Works,"Boston "
47408,b930,"SuffPrisTrsp",A,"Prisoner Transport",Corrections,"Suffolk County"
47440,b950,"SuffolkSherifAdm",A,"Sheriff Admin",Corrections,"Suffolk County"
47472,b970,"SpecialOps",A,"Sheriff Special Ops",Corrections,"Suffolk County"
47504,b990,"SouthBay",A,"South Bay Maintenance",Corrections,"Suffolk County"
47536,b9b0,"NashuaJailMaint",A,"Nashua St Maintenance",Corrections,"Suffolk County"
47664,ba30,"BosElderAf",A,"Boston Elder Affairs - Transport Vans",Public Works,"Boston "
47696,ba50,"BosElderAff",A,"Boston Elder Affairs",Public Works,"Boston "
47888,bb10,"BosTransDep1",A,"Boston Transportation Department",Transportation,"Boston "
47920,bb30,"BosTransDep2",A,"Boston Transportation Department",Transportation,"Boston "
47952,bb50,"BosTransDep3",A,"Boston Transportation Department",Transportation,"Boston "
47984,bb70,"BosTransDep4",A,"Boston Transportation Department",Transportation,"Boston "
48016,bb90,"BosTransDep5",A,"Boston Transportation Department",Transportation,"Boston "
48048,bbb0,"BosTransDep6",A,"Boston Transportation Department",Transportation,"Boston "
48080,bbd0,"BosTransDep7",A,"Boston Transportation Department",Transportation,"Boston "
48112,bbf0,"BosTransDep8",A,"Boston Transportation Department",Transportation,"Boston "
48176,bc30,"Boston DPW1",A,"Boston Department of Public Works",Public Works,"Boston "
48208,bc50,"Boston DPW2",A,"Boston Department of Public Works",Public Works,"Boston "
48240,bc70,"Boston DPW3",A,"Boston Department of Public Works",Public Works,"Boston "
48272,bc90,"Boston DPW4",A,"Boston Department of Public Works",Public Works,"Boston "
48304,bcb0,"Boston DPW5",A,"Boston Department of Public Works",Public Works,"Boston "
48336,bcd0,"Boston DPW6",A,"Boston Department of Public Works",Public Works,"Boston "
48368,bcf0,"Boston DPW7",A,"Boston Department of Public Works",Public Works,"Boston "
48400,bd10,"Boston DPW8",A,"Boston Department of Public Works",Public Works,"Boston "
48528,bd90,"BosPubHlth1",A,"Boston Public Health Department",Public Works,"Boston "
48560,bdb0,"BosPubHlth2",A,"Boston Public Health Department",Public Works,"Boston "
48592,bdd0,"BosPubHlth3",A,"Boston Public Health Department",Public Works,"Boston "
48656,be10,"BosPubHlth4",A,"Boston Public Health Department",Public Works,"Boston "
48752,be70,"BosPubHlth5",A,"Boston Public Health Department",Public Works,"Boston "
49200,c030,"BostonFD",A,"Boston FD Primary - Crosspatch",Interop,"Boston "
49232,c050,"BostonFDF2XP",A,"Boston Fire - CH 2 - Crosspatch",Interop,"Boston "
49264,c070,"BostonFDF3XP",A,"Boston Fire - CH 3 - Crosspatch",Interop,"Boston "
49296,c090,"BostonFDF4XP",A,"Boston Fire - CH 4 - Crosspatch",Interop,"Boston "
50192,c410,"Boston Tech",A,"Boston Radio Techs",Public Works,"Boston "
50256,c450,"BosAW4",A,"Boston Areawide 4",Interop,"Boston "
50800,c670,"BostonPDAC",A,"Boston Police All Channels Dispatch",Law Talk,"Boston "
51056,c770,"Shirley PRIM",A,"Shirley Maximum Security Primary",Corrections,"Mass Dept. of Corrections (DOC)"
51088,c790,"Shirley SECO",A,"Shirley Maximum Security Secondary",Corrections,"Mass Dept. of Corrections (DOC)"
53264,d010,"MBTA PD 1",A,"MBTA Transit Police - Ch 1 Simulcast",Law Dispatch,"Mass Bay Transportation Authority (MBTA)"
53296,d030,"MBTA PD 2",A,"MBTA Transit Police - Ch 2 Simulcast",Law Talk,"Mass Bay Transportation Authority (MBTA)"
53328,d050,"MBTA UNK",A,"MBTA - Unknown Designation",Other,"Mass Bay Transportation Authority (MBTA)"
53360,d070,"MBTA W/A",A,"MBTA - Wide Area",Interop,"Mass Bay Transportation Authority (MBTA)"
53392,d090,"MBTA PD 7",A,"MBTA - Transit Police - Ch 7",Law Tac,"Mass Bay Transportation Authority (MBTA)"
53424,d0b0,"MBTA PD Tac",A,"MBTA - Tactical Division",Law Tac,"Mass Bay Transportation Authority (MBTA)"
53456,d0d0,"MBTA PD UNK",A,"MBTA PD - Unknown Designation",Other,"Mass Bay Transportation Authority (MBTA)"
57424,e050,"TECH-A P25",D,"Troop A - Digital",Multi-Talk,"Radio Technicians"
57488,e090,"TECH-C P25",D,"Troop C Radio Technicians",Multi-Talk,"Radio Technicians"
58256,e390,"TECH-SW P25",D,"Radio Technicians (State Wide - Digital)",Multi-Talk,"Radio Technicians"
59152,e710,"FCECS Fire Disp",D,"County Fire Dispatch (Tie to CoMIRS)",Fire Dispatch,"Franklin County"
59184,e730,"FCECS PD Disp",D,"County Police Dispatch (Tie to CoMIRS)",Law Dispatch,"Franklin County"
59216,e750,"FCECS Fire Ops 3",D,"Fire Ops 3",Fire-Tac,"Franklin County"
59248,e770,"FCECS Fire Ops 4",D,"Fire Ops 4",Fire-Tac,"Franklin County"
59344,e7d0,"FCECS Fire Ops 7",D,"Fire Ops 7",Fire-Tac,"Franklin County"
